id,family,functional_group,pore_A,void_fraction,density,N_fraction,O_fraction,CO2_uptake_demo
COF-001,azine,NH2,17.48,0.325,1.007,0.033,0.113,3.373
COF-002,imine,F,18.04,0.425,0.791,0.028,0.110,3.002
COF-003,beta-ketoenamine,SO3H,30.75,0.600,0.667,0.157,0.027,6.272
COF-004,beta-ketoenamine,SO3H,10.83,0.460,1.003,0.045,0.113,3.085
COF-005,beta-ketoenamine,OH,10.34,0.670,0.801,0.107,0.099,2.975
COF-006,triazine,SO3H,30.16,0.488,0.549,0.045,0.145,5.564
COF-007,imine,SO3H,15.21,0.557,0.625,0.083,0.117,4.771
COF-008,beta-ketoenamine,OH,11.65,0.554,0.381,0.114,0.142,3.868
COF-009,azine,OH,24.69,0.609,0.814,0.084,0.154,5.192
COF-010,imine,H,25.55,0.461,0.812,0.115,0.091,3.634
COF-011,triazine,OH,8.54,0.540,0.484,0.036,0.029,3.012
COF-012,beta-ketoenamine,F,17.38,0.753,0.414,0.083,0.108,4.293
COF-013,beta-ketoenamine,F,28.74,0.445,0.682,0.070,0.161,4.667
COF-014,beta-ketoenamine,NH2,13.57,0.421,0.738,0.102,0.062,3.289
COF-015,imine,NH2,18.05,0.492,0.803,0.153,0.130,3.654
COF-016,imine,F,29.59,0.706,1.050,0.132,0.083,5.113
COF-017,triazine,F,10.48,0.630,0.400,0.029,0.053,3.413
COF-018,imine,H,8.01,0.379,0.431,0.071,0.024,2.136
COF-019,beta-ketoenamine,SO3H,17.03,0.630,1.114,0.104,0.096,4.785
COF-020,triazine,F,19.61,0.345,0.432,0.068,0.062,3.571
COF-021,beta-ketoenamine,SO3H,8.55,0.795,0.773,0.041,0.107,4.720
COF-022,imine,OH,20.44,0.772,0.635,0.051,0.107,5.003
COF-023,azine,NH2,22.72,0.710,0.957,0.047,0.058,4.411
COF-024,beta-ketoenamine,SO3H,19.83,0.680,1.142,0.131,0.096,5.319
COF-025,beta-ketoenamine,SO3H,30.96,0.533,1.100,0.158,0.173,5.592
COF-026,beta-ketoenamine,F,12.72,0.406,0.849,0.146,0.154,2.946
COF-027,triazine,OH,27.19,0.344,0.878,0.147,0.145,4.281
COF-028,beta-ketoenamine,F,26.94,0.473,0.991,0.156,0.083,3.837
COF-029,triazine,H,25.40,0.388,0.452,0.041,0.165,3.790
COF-030,triazine,OH,11.74,0.585,0.367,0.132,0.136,3.642
COF-031,imine,SO3H,25.99,0.372,1.139,0.047,0.160,4.742
COF-032,beta-ketoenamine,SO3H,15.82,0.583,1.017,0.029,0.138,4.232
COF-033,triazine,SO3H,27.56,0.569,1.012,0.143,0.041,5.662
COF-034,triazine,NH2,22.61,0.704,0.470,0.040,0.119,5.627
COF-035,imine,SO3H,9.48,0.655,0.775,0.088,0.144,4.157
COF-036,beta-ketoenamine,OH,9.01,0.351,0.712,0.024,0.163,2.318
COF-037,imine,F,15.81,0.806,0.835,0.048,0.064,3.449
COF-038,beta-ketoenamine,SO3H,29.04,0.790,0.558,0.098,0.171,6.624
COF-039,triazine,NH2,18.00,0.504,0.603,0.114,0.089,4.262
COF-040,imine,NH2,30.55,0.635,0.643,0.055,0.042,5.971
